1;'Сергiй';'Косовчич';'Косчич';'м. Київ, вул. Шевченка 123';'+380505542312'
2;'Михайло';'Морараш';'Морашович';'с. Буяни, вул. Жукова 45';'+380504245876'
3;'Андрiй';'Дробот';'Дробич';'м. Чернiвцi, вул. Унiверситетська 1';'+380999186399'
4;'Роман';'Iвасюк';'Iвасич';'м. Кiцмань, вул. Котова 5';'+38095645115'
5;'Микола';'Гуцуляк';'Миколайович';'м. Снятин, вул. Польова, 4';'+380664752131'
6;'Володимир';'Сухолиткий';'Сухолитич';'м. Харкiв, вул. Хитикая, 88';'+3809755887799'
7;'Андрiй';'Ляшкевич';'Ляшкович';'м. Черкаси, вул. Кличка, 33';'+380664512321'
8;'Валерiй';'Кур';'Степанович';'м. Чернiвцi, вул. Унiверситетська 45';'+380504567898'
9;'Петро';'Михайлецький';'Петрович';'м. Чернiвцi, вул. Унiверситетська 22';'+380504127898'
10;'Михайло';'Петришин';'Михайлович';'м. Чернiгiв, вул. Китайська, 88';'+38096452314'
